"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "XML", "JSON", "SCSS", "Vue", "comment", "blank", "total"
"c:\xampp\htdocs\unlimited\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 22, 67
"c:\xampp\htdocs\unlimited\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 12, 6, 33
"c:\xampp\htdocs\unlimited\app\Exceptions\Handler.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 23, 7, 51
"c:\xampp\htdocs\unlimited\app\Http\Controllers\AnuncioController.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 43, 10, 98
"c:\xampp\htdocs\unlimited\app\Http\Controllers\AuthController.php", "PHP", 0, 75, 0, 0, 0, 0, 0, 0, 9, 10, 94
"c:\xampp\htdocs\unlimited\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\xampp\htdocs\unlimited\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\unlimited\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\xampp\htdocs\unlimited\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 32, 9, 74
"c:\xampp\htdocs\unlimited\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
"c:\xampp\htdocs\unlimited\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
"c:\xampp\htdocs\unlimited\app\Http\Controllers\CaracteristicaProductoController.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 43, 10, 98
